event_id,parsed_rows,api_participants,abs_diff_rows,parser_status,table_count,page_chars,weight_displayed,used_table_class
136,304,93,211,ok,1,8932,15.0,table table-striped past_event_rating
1361,1083,171,912,ok,1,30472,24.19,table table-striped past_event_rating
1362,531,59,472,ok,1,15240,23.76,table table-striped past_event_rating
1363,164,36,128,ok,1,5783,34.65,table table-striped past_event_rating
1364,904,142,762,ok,1,25996,24.92,table table-striped past_event_rating
1365,697,118,579,ok,1,20297,25.0,table table-striped past_event_rating
1367,600,128,472,ok,1,15722,53.54,table table-striped past_event_rating
1368,79,22,57,ok,1,3331,24.0,table table-striped past_event_rating
1369,837,73,764,ok,1,23222,24.33,table table-striped past_event_rating
137,131,88,43,ok,1,5595,20.0,table table-striped past_event_rating
1370,603,175,428,ok,1,17035,70.41,table table-striped past_event_rating
1371,210,169,41,ok,1,6903,24.9,table table-striped past_event_rating
1373,351,65,286,ok,1,10726,19.21,table table-striped past_event_rating
1374,7,0,,ok,1,1093,0.0,table table-striped past_event_rating
1375,234,23,211,ok,1,7316,0.0,table table-striped past_event_rating
1376,284,65,219,ok,1,8370,37.0,table table-striped past_event_rating
1378,245,87,158,ok,1,8063,24.33,table table-striped past_event_rating
1379,10,0,,ok,1,2291,25.0,table table-striped past_event_rating
138,10,0,,ok,1,1130,0.0,table table-striped past_event_rating
1380,197,95,102,ok,1,7324,24.06,table table-striped past_event_rating
1381,374,52,322,ok,1,12689,24.0,table table-striped past_event_rating
1382,132,63,69,ok,1,4875,23.39,table table-striped past_event_rating
1383,1041,103,938,ok,1,62117,0.0,table table-striped past_event_rating
1384,1018,127,891,ok,1,28354,24.65,table table-striped past_event_rating
1385,0,0,,empty_scoreboard,0,1061,0.0,
1386,297,83,214,ok,1,9670,24.33,table table-striped past_event_rating
1387,81,53,28,ok,1,5044,10.33,table table-striped past_event_rating
1389,0,22,22,empty_scoreboard,0,1806,0.0,
139,18,7,11,ok,1,1696,40.0,table table-striped past_event_rating
1390,88,70,18,ok,1,3692,21.5,table table-striped past_event_rating
1391,156,40,116,ok,1,5564,22.44,table table-striped past_event_rating
1392,85,61,24,ok,1,4785,22.58,table table-striped past_event_rating
1393,0,11,11,empty_scoreboard,0,1547,0.0,
1394,7,9,2,row_count_undercount,1,2181,0.0,table table-striped past_event_rating
1395,0,8,8,empty_scoreboard,0,673,0.0,
1396,733,105,628,ok,1,20388,24.5,table table-striped past_event_rating
1397,411,59,352,ok,1,11712,24.46,table table-striped past_event_rating
1398,475,36,439,ok,1,15138,23.87,table table-striped past_event_rating
14,8,1,7,ok,1,2446,40.0,table table-striped past_event_rating
140,0,56,56,empty_scoreboard,0,1280,0.0,
1401,827,214,613,ok,1,23466,24.43,table table-striped past_event_rating
1403,68,0,,ok,1,2755,21.38,table table-striped past_event_rating
1404,0,0,,empty_scoreboard,0,1013,0.0,
1405,428,97,331,ok,1,13579,24.42,table table-striped past_event_rating
1406,60,68,8,row_count_undercount,1,2990,25.0,table table-striped past_event_rating
141,221,52,169,ok,1,6779,30.0,table table-striped past_event_rating
1413,483,57,426,ok,1,13102,69.2,table table-striped past_event_rating
1415,731,186,545,ok,1,19610,89.22,table table-striped past_event_rating
1416,198,66,132,ok,1,5719,65.47,table table-striped past_event_rating
1417,227,97,130,ok,1,8320,21.73,table table-striped past_event_rating
1418,16,0,,ok,1,1244,95.0,table table-striped past_event_rating
1419,77,40,37,ok,1,3476,23.15,table table-striped past_event_rating
142,240,59,181,ok,1,8088,40.0,table table-striped past_event_rating
1420,371,49,322,ok,1,11224,23.58,table table-striped past_event_rating
1421,192,33,159,ok,1,5544,25.0,table table-striped past_event_rating
1425,0,0,,empty_scoreboard,0,665,0.0,
1426,1192,203,989,ok,1,34218,20.33,table table-striped past_event_rating
1427,496,113,383,ok,1,14947,21.94,table table-striped past_event_rating
1429,238,91,147,ok,1,8452,41.6,table table-striped past_event_rating
1430,560,77,483,ok,1,16909,23.18,table table-striped past_event_rating
1431,762,126,636,ok,1,21796,34.8,table table-striped past_event_rating
1432,237,62,175,ok,1,13155,25.0,table table-striped past_event_rating
1433,0,15,15,empty_scoreboard,0,9476,1.0,
1434,505,83,422,ok,1,14940,24.81,table table-striped past_event_rating
1436,423,94,329,ok,1,14281,27.83,table table-striped past_event_rating
1437,0,24,24,empty_scoreboard,0,1278,0.0,
1438,501,125,376,ok,1,14619,24.37,table table-striped past_event_rating
1439,71,48,23,ok,1,2726,0.0,table table-striped past_event_rating
144,10,0,,ok,1,952,60.0,table table-striped past_event_rating
1440,333,81,252,ok,1,15205,14.13,table table-striped past_event_rating
1441,302,55,247,ok,1,8657,23.34,table table-striped past_event_rating
1442,182,0,,ok,1,5441,0.0,table table-striped past_event_rating
1444,1718,125,1593,ok,1,49474,24.98,table table-striped past_event_rating
1445,0,37,37,empty_scoreboard,0,1398,0.0,
1447,149,137,12,ok,1,4886,99.41,table table-striped past_event_rating
1448,157,39,118,ok,1,6633,24.38,table table-striped past_event_rating
1449,331,88,243,ok,1,10140,22.3,table table-striped past_event_rating
145,0,7,7,empty_scoreboard,0,689,30.0,
1450,22,5,17,ok,1,3260,0.0,table table-striped past_event_rating
1451,0,39,39,empty_scoreboard,0,1105,0.0,
1452,174,109,65,ok,1,5665,94.48,table table-striped past_event_rating
1453,300,195,105,ok,1,11478,19.69,table table-striped past_event_rating
1454,89,41,48,ok,1,3224,19.97,table table-striped past_event_rating
1456,12,17,5,row_count_undercount,1,1173,24.38,table table-striped past_event_rating
1457,247,82,165,ok,1,7535,99.33,table table-striped past_event_rating
1458,506,75,431,ok,1,14211,92.67,table table-striped past_event_rating
1459,511,50,461,ok,1,15165,24.45,table table-striped past_event_rating
146,10,7,3,ok,1,1306,60.0,table table-striped past_event_rating
1460,288,42,246,ok,1,8288,88.98,table table-striped past_event_rating
1463,112,52,60,ok,1,4673,24.94,table table-striped past_event_rating
1464,197,41,156,ok,1,6853,23.08,table table-striped past_event_rating
1465,18,0,,ok,1,1311,25.0,table table-striped past_event_rating
1466,314,50,264,ok,1,9874,25.0,table table-striped past_event_rating
1468,231,66,165,ok,1,7364,23.67,table table-striped past_event_rating
1469,187,28,159,ok,1,6627,25.0,table table-striped past_event_rating
147,230,92,138,ok,1,8357,30.0,table table-striped past_event_rating
1470,0,36,36,empty_scoreboard,0,1077,0.0,
1472,665,137,528,ok,1,17682,23.68,table table-striped past_event_rating
1473,412,68,344,ok,1,12016,19.81,table table-striped past_event_rating
1474,346,89,257,ok,1,9959,27.82,table table-striped past_event_rating
1475,13,0,,ok,1,1426,76.83,table table-striped past_event_rating
1476,1343,147,1196,ok,1,41000,24.09,table table-striped past_event_rating
1477,171,81,90,ok,1,6219,22.7,table table-striped past_event_rating
1478,0,79,79,empty_scoreboard,0,1589,0.0,
1479,110,17,93,ok,1,3790,0.0,table table-striped past_event_rating
148,499,98,401,ok,1,15274,30.0,table table-striped past_event_rating
1480,0,0,,empty_scoreboard,0,1379,24.33,
1481,318,50,268,ok,1,13684,17.54,table table-striped past_event_rating
1484,0,0,,empty_scoreboard,0,893,0.0,
1485,37,0,,ok,1,2507,0.0,table table-striped past_event_rating
1487,229,41,188,ok,1,7491,0.0,table table-striped past_event_rating
1489,149,62,87,ok,1,5428,0.0,table table-striped past_event_rating
149,9,1,8,ok,1,943,20.0,table table-striped past_event_rating
1490,144,61,83,ok,1,5253,0.0,table table-striped past_event_rating
1491,112,18,94,ok,1,4107,0.0,table table-striped past_event_rating
1492,0,11,11,empty_scoreboard,0,1775,22.33,
1493,0,0,,empty_scoreboard,0,981,0.0,
1494,411,38,373,ok,1,12033,21.62,table table-striped past_event_rating
1495,614,149,465,ok,1,18082,24.39,table table-striped past_event_rating
1496,119,57,62,ok,1,3886,30.75,table table-striped past_event_rating
1497,0,14,14,empty_scoreboard,0,572,0.0,
1498,25,17,8,ok,1,2499,25.0,table table-striped past_event_rating
1499,82,16,66,ok,1,4103,25.0,table table-striped past_event_rating
15,68,0,,ok,1,2284,70.0,table table-striped past_event_rating
150,912,71,841,ok,1,23035,15.0,table table-striped past_event_rating
1501,451,116,335,ok,1,13885,24.27,table table-striped past_event_rating
1503,103,68,35,ok,1,4309,0.0,table table-striped past_event_rating
1504,11,0,,ok,1,1056,0.0,table table-striped past_event_rating
1505,280,187,93,ok,1,9684,21.38,table table-striped past_event_rating
1506,65,37,28,ok,1,2765,23.14,table table-striped past_event_rating
1507,947,170,777,ok,1,24948,54.88,table table-striped past_event_rating
1508,19,82,63,row_count_undercount,1,1435,97.62,table table-striped past_event_rating
1509,27,3,24,ok,1,1460,0.0,table table-striped past_event_rating
151,31,1,30,ok,1,2199,25.0,table table-striped past_event_rating
1510,275,0,,ok,1,7853,25.0,table table-striped past_event_rating
1511,252,59,193,ok,1,8079,24.33,table table-striped past_event_rating
1512,235,40,195,ok,1,8278,24.56,table table-striped past_event_rating
1513,0,13,13,empty_scoreboard,0,1642,0.0,
1514,0,6,6,empty_scoreboard,0,1342,0.0,
1515,265,45,220,ok,1,10001,23.94,table table-striped past_event_rating
1517,0,26,26,empty_scoreboard,0,1365,0.0,
1518,404,152,252,ok,1,10839,16.93,table table-striped past_event_rating
152,1173,173,1000,ok,1,34004,40.0,table table-striped past_event_rating
1520,0,95,95,empty_scoreboard,0,1887,23.56,
1521,30,4,26,ok,1,1883,0.0,table table-striped past_event_rating
1522,0,4,4,empty_scoreboard,0,1185,0.0,
1523,3301,119,3182,ok,1,93451,24.33,table table-striped past_event_rating
1524,23,0,,ok,1,1912,0.0,table table-striped past_event_rating
1525,982,49,933,ok,1,26451,23.56,table table-striped past_event_rating
1528,0,27,27,empty_scoreboard,0,3438,0.0,
1529,0,52,52,empty_scoreboard,0,985,0.0,
153,12,7,5,ok,1,1778,20.0,table table-striped past_event_rating
1530,11,8,3,ok,1,1862,25.0,table table-striped past_event_rating
1533,133,0,,ok,1,5128,23.92,table table-striped past_event_rating
1536,123,57,66,ok,1,4067,24.7,table table-striped past_event_rating
1537,14,12,2,ok,1,1427,25.0,table table-striped past_event_rating
1538,139,65,74,ok,1,6322,25.0,table table-striped past_event_rating
1539,206,36,170,ok,1,6372,24.7,table table-striped past_event_rating
154,395,100,295,ok,1,12377,70.0,table table-striped past_event_rating
1540,602,82,520,ok,1,17067,36.72,table table-striped past_event_rating
1541,1126,318,808,ok,1,30812,24.82,table table-striped past_event_rating
1542,423,183,240,ok,1,11812,93.67,table table-striped past_event_rating
1543,740,135,605,ok,1,22499,24.88,table table-striped past_event_rating
1544,0,10,10,empty_scoreboard,0,738,0.0,
1545,751,177,574,ok,1,23793,17.38,table table-striped past_event_rating
1546,176,69,107,ok,1,5339,36.12,table table-striped past_event_rating
1547,428,100,328,ok,1,12410,24.74,table table-striped past_event_rating
1548,748,137,611,ok,1,23594,20.79,table table-striped past_event_rating
1549,0,44,44,empty_scoreboard,0,2091,11.25,
155,468,109,359,ok,1,15490,5.0,table table-striped past_event_rating
1550,149,38,111,ok,1,4953,25.0,table table-striped past_event_rating
1551,176,99,77,ok,1,5907,14.2,table table-striped past_event_rating
1553,85,66,19,ok,1,3299,25.0,table table-striped past_event_rating
1554,297,85,212,ok,1,8283,22.5,table table-striped past_event_rating
1555,632,149,483,ok,1,17561,35.97,table table-striped past_event_rating
1556,285,90,195,ok,1,9397,23.23,table table-striped past_event_rating
1557,476,75,401,ok,1,13892,24.92,table table-striped past_event_rating
1558,542,148,394,ok,1,15895,31.82,table table-striped past_event_rating
1559,724,162,562,ok,1,20753,24.5,table table-striped past_event_rating
1560,306,144,162,ok,1,11220,43.08,table table-striped past_event_rating
1561,314,108,206,ok,1,9864,23.56,table table-striped past_event_rating
1562,470,98,372,ok,1,14643,32.43,table table-striped past_event_rating
1563,0,36,36,empty_scoreboard,0,825,0.0,
1564,737,106,631,ok,1,20960,0.0,table table-striped past_event_rating
1566,307,67,240,ok,1,10529,24.67,table table-striped past_event_rating
1567,778,143,635,ok,1,23102,23.94,table table-striped past_event_rating
1568,758,99,659,ok,1,22532,20.33,table table-striped past_event_rating
1569,425,194,231,ok,1,13717,24.19,table table-striped past_event_rating
157,0,0,,empty_scoreboard,0,1073,5.0,
1570,0,12,12,empty_scoreboard,0,1908,0.0,
1573,411,130,281,ok,1,12203,48.2,table table-striped past_event_rating
1574,525,147,378,ok,1,14207,87.0,table table-striped past_event_rating
1575,0,56,56,empty_scoreboard,0,1447,0.0,
1576,0,12,12,empty_scoreboard,0,1234,0.0,
1578,0,338,338,empty_scoreboard,0,1206,0.0,
1579,371,88,283,ok,1,10662,21.61,table table-striped past_event_rating
158,224,119,105,ok,1,9530,20.0,table table-striped past_event_rating
1581,46,19,27,ok,1,2879,10.33,table table-striped past_event_rating
1582,560,83,477,ok,1,16014,34.63,table table-striped past_event_rating
1583,652,166,486,ok,1,18453,33.05,table table-striped past_event_rating
1587,0,16,16,empty_scoreboard,0,635,0.0,
1589,246,0,,ok,1,7561,19.21,table table-striped past_event_rating
159,874,92,782,ok,1,23624,25.0,table table-striped past_event_rating
1590,501,75,426,ok,1,16377,25.0,table table-striped past_event_rating
1591,225,33,192,ok,1,7012,12.69,table table-striped past_event_rating
1592,0,18,18,empty_scoreboard,0,732,33.78,
1593,552,56,496,ok,1,16347,35.9,table table-striped past_event_rating
1594,368,73,295,ok,1,10360,24.42,table table-striped past_event_rating
1595,302,38,264,ok,1,9385,22.65,table table-striped past_event_rating
1596,0,10,10,empty_scoreboard,0,836,0.0,
1597,629,114,515,ok,1,18170,22.49,table table-striped past_event_rating
1598,91,71,20,ok,1,3949,99.83,table table-striped past_event_rating
1599,768,120,648,ok,1,21892,24.76,table table-striped past_event_rating
16,11,0,,ok,1,948,30.0,table table-striped past_event_rating
160,20,8,12,ok,1,2300,5.0,table table-striped past_event_rating
1601,28,22,6,ok,1,2080,0.0,table table-striped past_event_rating
1602,553,64,489,ok,1,15977,24.33,table table-striped past_event_rating
1603,93,35,58,ok,1,3963,22.7,table table-striped past_event_rating
1604,1092,208,884,ok,1,31027,23.76,table table-striped past_event_rating
1605,585,60,525,ok,1,19337,19.36,table table-striped past_event_rating
1606,0,34,34,empty_scoreboard,0,1295,0.0,
1607,22,15,7,ok,1,1672,0.0,table table-striped past_event_rating
1608,47,38,9,ok,1,2462,24.67,table table-striped past_event_rating
1609,372,33,339,ok,1,10210,25.0,table table-striped past_event_rating
161,12,4,8,ok,1,1231,10.0,table table-striped past_event_rating
1610,198,58,140,ok,1,6867,25.0,table table-striped past_event_rating
1611,88,73,15,ok,1,3427,45.57,table table-striped past_event_rating
1612,516,52,464,ok,1,16086,24.33,table table-striped past_event_rating
1613,881,187,694,ok,1,24921,23.7,table table-striped past_event_rating
1614,13,0,,ok,1,1721,0.0,table table-striped past_event_rating
1615,574,171,403,ok,1,15978,36.0,table table-striped past_event_rating
1616,436,80,356,ok,1,13270,24.52,table table-striped past_event_rating
1617,255,43,212,ok,1,7813,50.11,table table-striped past_event_rating
1618,11,11,0,ok,1,1099,0.0,table table-striped past_event_rating
162,0,12,12,empty_scoreboard,0,652,5.0,
1620,228,90,138,ok,1,7321,35.11,table table-striped past_event_rating
1622,130,80,50,ok,1,4449,23.61,table table-striped past_event_rating
1624,0,14,14,empty_scoreboard,0,834,0.0,
1625,1405,300,1105,ok,1,40490,32.24,table table-striped past_event_rating
1626,11,35,24,row_count_undercount,1,1142,25.0,table table-striped past_event_rating
1627,804,86,718,ok,1,23325,31.86,table table-striped past_event_rating
1628,166,45,121,ok,1,7029,24.0,table table-striped past_event_rating
1629,445,78,367,ok,1,12643,24.1,table table-striped past_event_rating
1630,3247,253,2994,ok,1,91669,24.61,table table-striped past_event_rating
1631,331,70,261,ok,1,9910,35.66,table table-striped past_event_rating
1632,300,95,205,ok,1,9110,20.75,table table-striped past_event_rating
1635,270,86,184,ok,1,7826,22.22,table table-striped past_event_rating
1636,15,4,11,ok,1,1556,25.0,table table-striped past_event_rating
1637,0,20,20,empty_scoreboard,0,1583,0.0,
1638,0,36,36,empty_scoreboard,0,3030,0.0,
1639,3663,205,3458,ok,1,104363,24.9,table table-striped past_event_rating
164,23,112,89,row_count_undercount,1,1468,5.0,table table-striped past_event_rating
1640,0,5,5,empty_scoreboard,0,1188,0.0,
1641,381,385,4,ok,1,11535,97.84,table table-striped past_event_rating
1642,15,11,4,ok,1,1279,22.62,table table-striped past_event_rating
1643,455,31,424,ok,1,14472,24.5,table table-striped past_event_rating
1644,0,0,,empty_scoreboard,0,993,0.0,
1647,939,161,778,ok,1,27634,24.27,table table-striped past_event_rating
1649,0,0,,empty_scoreboard,0,726,0.0,
165,321,110,211,ok,1,13589,80.0,table table-striped past_event_rating
1650,0,8,8,empty_scoreboard,0,605,0.0,
1652,391,56,335,ok,1,11663,23.75,table table-striped past_event_rating
1653,0,72,72,empty_scoreboard,0,1138,0.0,
1654,0,119,119,empty_scoreboard,0,1028,0.0,
1655,730,252,478,ok,1,21090,0.0,table table-striped past_event_rating
1656,978,150,828,ok,1,27473,24.92,table table-striped past_event_rating
1657,305,89,216,ok,1,10423,15.12,table table-striped past_event_rating
1658,634,112,522,ok,1,18435,23.32,table table-striped past_event_rating
1659,44,67,23,row_count_undercount,1,1939,51.22,table table-striped past_event_rating
166,26,10,16,ok,1,1868,5.0,table table-striped past_event_rating
1660,435,132,303,ok,1,12660,20.91,table table-striped past_event_rating
1661,469,107,362,ok,1,13389,77.83,table table-striped past_event_rating
1662,16,84,68,row_count_undercount,1,1513,96.33,table table-striped past_event_rating
1663,631,136,495,ok,1,18104,24.23,table table-striped past_event_rating
1664,0,21,21,empty_scoreboard,0,1620,0.0,
1665,260,151,109,ok,1,9227,62.0,table table-striped past_event_rating
1666,140,25,115,ok,1,4627,23.94,table table-striped past_event_rating
1667,0,0,,empty_scoreboard,0,1160,22.37,
1668,1355,88,1267,ok,1,39093,22.37,table table-striped past_event_rating
1669,285,30,255,ok,1,8362,25.0,table table-striped past_event_rating
167,9,33,24,row_count_undercount,1,5062,5.0,table table-striped past_event_rating
1670,814,111,703,ok,1,23232,24.65,table table-striped past_event_rating
1671,80,0,,ok,1,3356,36.0,table table-striped past_event_rating
1672,153,146,7,ok,1,5332,21.5,table table-striped past_event_rating
1673,20,10,10,ok,1,1280,0.0,table table-striped past_event_rating
1674,475,0,,ok,1,12924,23.47,table table-striped past_event_rating
1675,0,16,16,empty_scoreboard,0,882,0.0,
1676,617,153,464,ok,1,17031,24.05,table table-striped past_event_rating
1677,118,26,92,ok,1,4449,23.36,table table-striped past_event_rating
1678,557,97,460,ok,1,16306,9.64,table table-striped past_event_rating
1679,21,22,1,ok,1,1497,56.44,table table-striped past_event_rating
168,4,13,9,row_count_undercount,1,1251,5.0,table table-striped past_event_rating
1680,189,54,135,ok,1,6127,21.88,table table-striped past_event_rating
1681,0,0,,empty_scoreboard,0,1018,0.0,
1682,310,33,277,ok,1,8416,23.8,table table-striped past_event_rating
1683,713,121,592,ok,1,19379,0.0,table table-striped past_event_rating
1685,326,75,251,ok,1,10483,24.9,table table-striped past_event_rating
1687,919,87,832,ok,1,44355,0.0,table table-striped past_event_rating
1688,145,123,22,ok,1,5042,77.38,table table-striped past_event_rating
1689,0,20,20,empty_scoreboard,0,1312,0.0,
169,0,8,8,empty_scoreboard,0,3348,20.0,
1690,221,103,118,ok,1,7313,25.0,table table-striped past_event_rating
1691,0,0,,empty_scoreboard,0,750,0.0,
1692,1170,185,985,ok,1,32514,25.43,table table-striped past_event_rating
1693,0,97,97,empty_scoreboard,0,1288,19.21,
1694,542,70,472,ok,1,17582,23.87,table table-striped past_event_rating
1695,48,32,16,ok,1,2172,88.0,table table-striped past_event_rating
1696,463,18,445,ok,1,14222,0.0,table table-striped past_event_rating
