country,year,n_teams,n_events,n_academic_teams,top10_appearances,top50_appearances,top100_appearances,median_place,mean_place,total_appearances
FR,2024,31,92,7,9,29,52,152.0,243.8,150
FR,2025,32,83,10,2,17,33,228.0,330.0,130
FR,2026,16,15,7,1,2,5,329,338.1,23
GB,2011,1,2,0,0,2,2,37.0,37,2
GB,2012,3,6,1,0,5,6,33,79.7,7
GB,2013,9,18,1,0,12,19,57.0,149.9,30
GB,2014,10,18,3,1,6,13,117,190.7,29
GB,2015,21,35,7,2,23,56,97.0,167.3,104
GB,2016,37,45,17,3,32,63,174.5,225.4,188
GB,2017,47,56,19,10,42,72,168,285.3,201
GB,2018,47,74,15,10,74,131,122,205.9,301
GB,2019,40,79,11,4,45,91,186,276.3,277
GB,2020,40,111,9,8,55,104,191.0,296.3,324
GB,2021,32,63,8,3,18,32,201.0,393.6,102
GB,2022,30,67,5,0,6,12,313,469.9,103
GB,2023,26,60,6,1,6,16,295.5,425.2,74
GB,2024,24,65,5,0,6,19,253,351.3,93
GB,2025,21,55,5,2,5,10,390,446.3,77
GB,2026,11,19,2,2,3,5,256,274.5,19
GD,2014,1,1,0,0,0,0,360,360,1
GD,2015,1,3,0,0,0,0,305,444,3
GD,2016,1,2,0,0,1,1,241.5,241.5,2
GD,2017,1,2,0,0,0,0,486.5,486.5,2
GD,2018,1,4,0,0,0,1,759.5,773.2,4
GD,2019,1,6,0,0,1,1,472.5,506.3,6
GD,2020,1,3,0,0,0,0,487,818,3
GD,2021,1,5,0,0,1,1,324,404.4,5
GD,2022,1,6,0,0,0,1,348.0,397.3,6
GD,2023,1,3,0,0,1,1,443,329.7,3
GD,2024,1,5,0,0,1,1,718,625,5
GD,2025,1,8,0,0,0,1,149.0,195.9,8
GD,2026,1,4,0,0,0,0,586.5,511.2,4
GE,2014,1,3,0,0,0,0,514,488,3
GE,2015,1,1,0,0,0,0,238,238,1
GE,2017,3,3,0,0,0,0,487.5,524.2,4
GE,2018,1,7,0,0,0,1,196,238.4,7
GE,2019,1,1,0,0,0,0,774,774,1
GE,2020,1,4,0,0,0,1,188.5,201.2,4
GE,2021,1,1,1,0,0,0,378,378,1
GE,2022,1,1,1,0,0,0,1334,1334,1
GE,2024,1,1,0,0,0,0,862,862,1
GE,2025,1,1,0,0,0,0,334,334,1
GG,2017,1,1,0,0,0,0,443,443,1
GG,2018,1,2,0,0,1,2,51.0,51,2
GG,2020,2,2,0,1,1,1,63.0,63,2
GG,2021,2,2,0,1,1,1,58.5,58.5,2
GG,2022,1,5,0,0,2,2,351,472.8,5
GQ,2018,1,6,0,0,1,2,182.0,347.3,6
GQ,2019,1,4,0,0,0,1,511.0,541.8,4
GQ,2020,1,3,0,0,1,2,53,151.3,3
GQ,2022,1,4,0,0,0,0,246.5,760,4
GQ,2023,1,1,0,0,0,0,404,404,1
GQ,2024,1,1,0,0,0,0,781,781,1
GQ,2025,1,9,0,0,3,3,229,350.2,9
GQ,2026,1,4,0,0,0,0,554.5,488.5,4
GR,2014,1,3,0,0,0,0,252,462,3
GR,2015,1,4,0,0,0,0,403.0,448.8,4
GR,2016,2,11,0,2,4,6,103.5,149.7,12
GR,2017,3,22,0,3,9,18,81,190.4,27
GR,2018,8,40,3,13,23,27,97,228.6,53
GR,2019,5,12,0,1,3,3,360.5,355.9,14
GR,2020,5,43,1,8,14,22,107.5,193.1,46
GR,2021,3,22,1,11,18,20,11.0,37.3,22
GR,2022,2,2,1,0,0,0,490.0,490,2
GR,2024,2,2,1,0,0,1,469.0,469,2
GR,2025,2,3,1,0,0,0,432,807.3,3
GR,2026,1,1,0,0,0,1,64,64,1
GS,2019,1,1,0,0,0,0,305,305,1
GS,2020,1,2,0,0,0,0,423.5,423.5,2
GS,2021,1,4,0,0,0,2,98.5,172.8,4
GS,2022,1,3,0,0,0,2,72,133,3
GS,2023,1,1,0,0,0,1,78,78,1
GT,2018,1,1,1,0,0,0,316,316,1
GU,2018,1,1,1,0,0,0,1047,1047,1
HK,2011,1,2,0,0,1,2,58.5,58.5,2
HK,2012,1,3,0,0,1,3,83,71.7,3
HK,2013,1,7,0,0,4,6,46,53.3,7
HK,2014,5,15,1,0,1,4,180.0,218.8,26
HK,2015,6,11,2,0,1,6,112.0,177.8,14
HK,2016,8,21,4,0,0,7,173.5,201.2,28
HK,2017,15,48,5,5,17,36,132.5,252.6,110
HK,2018,19,58,6,2,23,48,142,215.1,137
HK,2019,16,32,5,0,4,6,240,309,47
HK,2020,12,18,2,1,1,4,398,527.9,19
HK,2021,7,17,3,2,6,6,222.0,250.1,18
HK,2022,4,11,1,2,4,5,145,436.5,11
HK,2023,7,21,2,1,2,7,247,280.0,21
HK,2024,5,16,1,3,9,10,35.5,196,16
HK,2025,6,21,1,1,4,8,141.5,375.8,22
HK,2026,3,10,1,2,5,5,74.5,147.5,10
HM,2012,1,1,1,0,0,0,102,102,1
HM,2014,1,1,1,0,0,0,555,555,1
HM,2015,1,1,1,0,0,0,353,353,1
HM,2016,1,2,1,0,0,0,240.5,240.5,2
HM,2017,1,1,1,0,0,0,1087,1087,1
HM,2018,1,2,1,0,0,0,1049.5,1049.5,2
HM,2019,1,2,1,0,0,1,161.0,161,2
HM,2020,1,2,1,0,0,0,547.0,547,2
HM,2021,1,2,1,0,1,1,395.0,395,2
HM,2022,1,5,1,0,0,1,149,223.8,5
HM,2023,1,6,1,0,3,4,59.0,129.8,6
HM,2024,1,3,1,0,0,0,397,378.7,3
HM,2025,1,5,1,0,0,0,342,371.8,5
HM,2026,1,3,1,0,0,0,376,483.3,3
HR,2015,1,5,0,0,0,0,234,418.8,5
HR,2016,1,5,0,1,1,4,67,148,5
HR,2017,3,22,0,0,2,9,150.0,215.2,24
HR,2018,4,55,1,0,3,22,172,218.1,73
HR,2019,3,83,1,0,5,25,156.5,198.4,94
HR,2020,3,110,0,0,6,26,197,243.5,117
HR,2021,2,107,0,1,11,30,168,241.3,107
HR,2022,3,15,0,0,1,5,141.5,397.5,16
HR,2023,2,3,0,0,1,1,277,248,3
HR,2025,1,1,0,0,0,0,731,731,1
HU,2013,3,12,0,2,8,11,38.5,64.3,14
HU,2014,3,28,0,6,26,29,25.5,105.8,36
HU,2015,1,35,0,18,33,34,10,21.9,35
HU,2016,2,33,0,10,21,27,16,97.7,35
HU,2017,2,16,0,9,15,15,11.0,98.9,18
HU,2018,7,43,2,10,21,30,74,143.4,53
HU,2019,4,57,1,11,33,43,77,132.6,77
HU,2020,6,55,1,5,20,35,105.0,178.8,70
HU,2021,6,28,2,7,17,19,42.5,199.7,32
HU,2022,5,23,1,2,8,9,133.5,288.0,24
HU,2023,2,3,1,0,1,1,124,276.7,3
ID,2011,1,1,0,0,0,1,90,90,1
ID,2012,1,1,0,0,0,0,311,311,1
ID,2013,5,5,1,0,1,3,305,299.6,7
