country,year,active_teams,new_teams_first_seen,top100_teams
LK,2025,8,2,0
LK,2026,5,1,0
LS,2024,2,2,0
LS,2025,3,1,0
LS,2026,2,1,0
LT,2013,1,1,0
LT,2014,1,1,0
LT,2015,1,1,0
LT,2016,3,2,0
LT,2017,3,1,0
LT,2018,3,1,0
LT,2019,6,4,0
LT,2020,3,0,0
LT,2021,7,4,0
LT,2022,16,11,0
LT,2023,16,8,0
LT,2024,19,10,0
LT,2025,10,4,0
LT,2026,13,6,0
LU,2012,2,2,0
LU,2013,2,1,0
LU,2014,1,0,0
LU,2015,3,1,0
LU,2016,3,1,0
LU,2017,3,1,0
LU,2018,3,1,0
LU,2019,4,1,0
LU,2020,6,3,0
LU,2021,5,1,0
LU,2022,5,1,0
LU,2023,9,5,0
LU,2024,5,1,0
LU,2025,8,3,0
LU,2026,3,0,0
LV,2014,1,1,0
LV,2015,1,1,0
LV,2018,2,2,0
LV,2019,2,1,0
LV,2020,1,0,0
LV,2021,2,1,0
LV,2022,3,2,0
LV,2023,1,0,0
LV,2024,2,2,0
LV,2025,11,9,0
LV,2026,5,0,0
LY,2017,1,1,0
LY,2025,1,1,0
LY,2026,1,0,0
MA,2013,4,4,0
MA,2014,7,5,0
MA,2015,18,11,1
MA,2016,21,10,1
MA,2017,30,14,1
MA,2018,25,6,0
MA,2019,27,14,0
MA,2020,46,31,0
MA,2021,42,24,0
MA,2022,53,28,0
MA,2023,69,39,0
MA,2024,101,61,0
MA,2025,115,73,0
MA,2026,74,35,4
MC,2017,1,1,0
MC,2020,1,1,0
MC,2022,1,1,0
MC,2023,1,1,0
MC,2024,2,1,0
MC,2025,2,0,0
MD,2017,2,2,0
MD,2018,1,0,0
MD,2019,2,1,0
MD,2020,2,1,0
MD,2021,5,1,0
MD,2022,2,0,0
MD,2023,5,4,0
MD,2024,6,2,0
MD,2025,3,0,0
MD,2026,1,0,0
MF,2017,1,1,0
MF,2024,1,0,0
