team_id,team_name,country,academic
3135,Batman's Kitchen,US,1
3136,PraetorianGs,US,0
3139,AFiniteNumberOfMonkeys,GB,1
3145,yHack,,0
3146,ramandi,,0
3149,lesboverflow,,0
3151,ESGI,,0
3156,PuN1sh3r,,0
3157,DawgBytes,,0
3167,Ctrl-PNZ,,0
3168,Magic Koibasta Hat,,0
3170,MV9rwGOf08,,0
3175,simsim,,0
3177,Dark Side,,0
3180,HackClub,,0
3184,PiggyBird,VN,0
3186,haxelion,BE,0
3188,NoNameYet,,0
3191,d3v1l,,0
3192,Hacknam Style,BE,0
3194,0xCC,,0
3195,Caonima,,0
3196,sw0rdf1sh,,0
3198,TeamRedAce,NL,0
3199,botbie,VN,0
3200,FFF,VN,0
3206,RAON_ASRT,KR,0
3208,HackingForSoju,SE,0
3209,CCCP,,0
3210,testtest,,0
3212,ZenSecurity,BY,0
3213,rootroot.ru,RU,0
3218,plsno D:,,0
3220,XOROR,RU,0
3222,onemanarmy,,0
3224,Groke,,0
3226,Layer7,,0
3230,LUCKERS,,0
3233,nobody,,0
3239,dreamteam,RU,0
3240,BPS,,0
3243,brains404,,0
3249,L0ner,,0
3254,mUnKi,VN,0
3257,BalalaikaCr3w,RU,0
3258,HazaNaLeni,RU,0
3269,Hunters,IN,0
3270,TMIH-SECURITY,CA,0
3271,Man In The Middle,EG,0
3273,pure,,0
3275,Codezen,,0
3276,hswaw,PL,0
3277,backspace,DE,0
3279,Mitchel,,0
3280,HappyBacking,,0
3281,cyberdemon,,0
3286,fishpenis,,0
3287,plsno,,0
3294,chmod777,,0
3295,X+1,,0
