team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
5413,11,2013,2014,2,86,0,0
5416,14,2013,2023,11,8,1,4
5455,13,2013,2016,4,142,0,0
5460,20,2013,2024,12,44,0,1
5471,40,2013,2023,11,21,0,2
5477,5,2013,2017,5,30,0,1
5490,3,2013,2025,13,355,0,0
5493,4,2013,2024,12,55,0,0
5513,16,2013,2024,12,89,0,0
5532,69,2013,2026,14,13,0,22
5536,31,2013,2025,13,15,0,4
5537,12,2013,2018,6,60,0,0
5559,16,2013,2015,3,130,0,0
5562,4,2013,2019,7,10,1,2
5573,11,2013,2015,3,65,0,0
5603,120,2013,2026,14,14,0,3
5631,30,2013,2018,6,18,0,2
5638,5,2013,2015,3,240,0,0
5652,4,2013,2014,2,36,0,1
5655,42,2013,2018,6,10,1,3
5664,13,2013,2017,5,86,0,0
5675,9,2013,2025,13,47,0,1
5680,3,2013,2016,4,269,0,0
5698,26,2013,2024,12,28,0,3
5757,20,2013,2025,13,6,1,2
5835,19,2013,2025,13,3,6,12
5847,9,2013,2016,4,23,0,1
5856,11,2013,2026,14,25,0,1
5882,16,2013,2024,12,11,0,2
6031,22,2013,2024,12,18,0,1
6105,7,2013,2026,14,8,3,6
6148,65,2013,2026,14,16,0,2
6175,26,2013,2026,14,14,0,3
6199,21,2013,2026,14,56,0,0
6333,22,2017,2025,9,18,0,6
6337,3,2013,2021,9,32,0,1
6349,7,2020,2026,7,52,0,0
6351,12,2013,2019,7,36,0,1
6356,6,2020,2024,5,177,0,0
6357,3,2016,2024,9,58,0,0
6359,22,2014,2026,13,50,0,1
6362,6,2013,2019,7,69,0,0
6363,4,2015,2020,6,22,0,2
6370,166,2014,2026,13,7,1,1
6373,111,2014,2026,13,21,0,4
6393,3,2013,2025,13,57,0,0
6405,9,2013,2016,4,3,1,3
6434,176,2013,2023,11,1,14,95
6455,9,2013,2015,3,91,0,0
6456,23,2013,2014,2,23,0,8
6459,6,2013,2015,3,2,2,3
6461,9,2013,2020,8,51,0,0
6466,26,2016,2026,11,58,0,0
6467,35,2016,2022,7,24,0,2
6470,10,2013,2022,10,3,1,1
6471,3,2013,2019,7,16,0,1
6472,3,2017,2024,8,108,0,0
6473,103,2013,2026,14,1,5,31
6474,11,2013,2026,14,9,1,1
6475,14,2013,2025,13,34,0,1
6476,138,2014,2026,13,2,7,46
6488,12,2014,2026,13,89,0,0
6491,33,2013,2015,3,19,0,6
6493,5,2013,2020,8,31,0,1
6495,22,2015,2025,11,1,5,13
6499,22,2013,2023,11,48,0,1
6502,123,2013,2025,13,1,45,78
